year,avg_temp
1840,23.71
1841,20.76
1842,20.96
1843,21.05
1844,20.66
1845,20.66
1846,21.28
1847,20.91
1848,20.55
1849,20.85
1850,21.03
1851,21.12
1852,21.10
1853,21.61
1854,21.47
1855,20.90
1856,20.40
1857,20.97
1858,20.84
1859,21.07
1860,21.08
1861,20.83
1862,20.17
1863,20.67
1864,20.53
1865,21.49
1866,21.06
1867,21.39
1868,21.60
1869,21.39
1870,21.59
1871,21.37
1872,21.52
1873,21.06
1874,21.39
1875,21.30
1876,20.74
1877,21.31
1878,21.35
1879,21.43
1880,20.67
1881,21.03
1882,20.87
1883,20.59
1884,20.21
1885,20.44
1886,20.44
1887,20.86
1888,21.37
1889,21.17
1890,21.30
1891,21.22
1892,20.74
1893,20.53
1894,21.10
1895,20.97
1896,21.18
1897,21.19
1898,21.31
1899,21.03
1900,21.02
1901,21.11
1902,21.82
1903,20.93
1904,21.00
1905,20.91
1906,21.16
1907,21.21
1908,21.11
1909,21.47
1910,21.11
1911,21.16
1912,21.13
1913,21.04
1914,21.86
1915,21.80
1916,21.06
1917,20.67
1918,20.91
1919,21.43
1920,21.24
1921,21.39
1922,21.52
1923,21.64
1924,21.45
1925,21.05
1926,21.29
1927,21.17
1928,21.74
1929,21.57
1930,21.35
1931,21.36
1932,21.22
1933,21.47
1934,20.97
1935,21.55
1936,21.05
1937,21.85
1938,21.86
1939,21.44
1940,21.79
1941,21.95
1942,21.89
1943,21.88
1944,21.66
1945,21.41
1946,22.48
1947,21.44
1948,21.99
1949,22.02
1950,21.90
1951,21.53
1952,22.04
1953,21.91
1954,21.71
1955,21.59
1956,21.48
1957,21.43
1958,21.74
1959,21.89
1960,21.96
1961,21.75
1962,21.46
1963,21.96
1964,21.76
1965,21.83
1966,22.29
1967,21.50
1968,21.68
1969,21.28
1970,21.40
1971,21.44
1972,21.65
1973,22.00
1974,21.54
1975,21.65
1976,21.23
1977,22.07
1978,21.69
1979,21.74
1980,21.86
1981,21.90
1982,21.75
1983,21.57
1984,21.14
1985,21.47
1986,21.75
1987,22.38
1988,21.47
1989,21.91
1990,22.16
1991,22.04
1992,21.31
1993,21.43
1994,21.91
1995,21.27
1996,21.51
1997,21.65
1998,22.48
1999,22.15
2000,21.92
2001,22.06
2002,22.37
2003,22.21
2004,22.00
2005,21.85
2006,22.23
2007,22.31
2008,21.66
2009,22.20
2010,21.80
2011,21.53
2012,21.83
2013,22.80
